,yhat,y_test
0,0.05636194812632512,
1,0.00772962962962963,
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,0.0,
8,0.002,
9,0.0,
10,0.0,
11,0.066,
12,0.002,
13,0.0,
14,0.006,
15,0.002,
16,0.08945705806915684,
17,0.002,
18,0.006,
19,0.004,
20,0.047529291264035725,
21,0.1339045890130181,
22,0.03537866905559939,
23,0.0,
24,0.5831930973684228,
25,0.04483384769544072,
26,0.00772962962962963,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.002,
34,0.008,
35,0.021918435185949086,
36,0.7255915207211036,
37,0.006,
38,0.004,
39,0.01396921779464474,
40,0.0,
41,0.11273591772579636,
42,0.0,
43,0.0,
44,0.04196921779464474,
45,0.04629455569790481,
46,0.1316755214983779,
47,0.015523654159869494,
48,0.0,
49,0.4344197536180284,
50,0.023782513925504623,
51,0.0,
52,0.002,
53,0.006,
54,0.0,
55,0.0,
56,0.0,
57,0.33430953744712927,
58,0.0,
59,0.025782513925504624,
60,0.006400614562736094,
61,0.0009550102249488753,
62,0.002955010224948875,
63,0.0,
64,0.006400614562736094,
65,0.0,
66,0.0,
67,0.0,
68,0.0,
69,0.0,
70,0.0,
71,0.004,
72,0.08371832297228873,
73,0.05781737317581654,
74,0.016,
75,0.11154957484718528,
76,0.1349765916912498,
77,0.11322313081739169,
78,0.5800658540473803,
79,0.05828156665068212,
80,0.003961669729587818,
81,0.002,
82,0.0,
83,0.0,
84,0.0,
85,0.0,
86,0.0,
87,0.006,
88,0.3319009497964722,
89,0.034,
90,0.007900949796472184,
91,0.022,
92,0.006,
93,0.07367046420867152,
94,0.0037103616664123304,
95,0.009820178437901094,
96,0.15305642500973313,
97,0.025790129372304745,
98,0.025790129372304745,
99,0.04579012937230475,
100,0.1278550148957299,
101,0.044,
102,0.008,
103,0.018,
104,0.012,
105,0.012,
106,0.016,
107,0.022,
108,0.012,
109,0.06984831544055806,
110,0.09051620088472297,
111,0.07097735624954396,
112,0.10585501489572989,
113,0.09775596469220207,
114,0.07,
115,0.025790129372304745,
116,0.023790129372304743,
