RHEA_ID	DIRECTION	MASTER_ID	ID	DB
10000	UN	10000	3.5.1.50	EC
10000	UN	10000	GO:0050168	GO
10001	LR	10000	PENTANAMIDASE-RXN	METACYC
10003	BI	10000	R02938	KEGG_REACTION
10004	UN	10004	5.99.1.1	EC
10004	UN	10004	GO:0050335	GO
10004	UN	10004	THIOCYANATE-ISOMERASE-RXN	METACYC
10007	BI	10004	R04010	KEGG_REACTION
10008	UN	10008	GO:0051920	GO
10012	UN	10012	1.5.3.6	EC
10012	UN	10012	GO:0018530	GO
10013	LR	10012	R-6-HYDROXYNICOTINE-OXIDASE-RXN	METACYC
10015	BI	10012	R07170	KEGG_REACTION
10016	UN	10016	3.1.1.49	EC
10016	UN	10016	GO:0050285	GO
10017	LR	10016	SINAPINE-ESTERASE-RXN	METACYC
10019	BI	10016	R02381	KEGG_REACTION
10020	UN	10020	1.5.1.10	EC
10020	UN	10020	GO:0004755	GO
10022	RL	10020	RXN3O-127	METACYC
10023	BI	10020	R02315	KEGG_REACTION
10024	UN	10024	GO:0018024	GO
10025	LR	10024	HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN	METACYC
10027	BI	10024	R03938	KEGG_REACTION
10028	UN	10028	1.4.3.15	EC
10028	UN	10028	1.4.3.7	EC
10028	UN	10028	GO:0047821	GO
10029	LR	10028	D-GLUTAMATE-OXIDASE-RXN	METACYC
10031	BI	10028	R00279	KEGG_REACTION
10032	UN	10032	3.5.1.43	EC
10032	UN	10032	GO:0050170	GO
10033	LR	10032	PEPTIDYL-GLUTAMINASE-RXN	METACYC
10035	BI	10032	R04341	KEGG_REACTION
10036	UN	10036	1.1.3.38	EC
10036	UN	10036	GO:0018465	GO
10037	LR	10036	1.1.3.38-RXN	METACYC
10039	BI	10036	R02877	KEGG_REACTION
10040	UN	10040	3.1.3.7	EC
10040	UN	10040	GO:0008441	GO
10041	LR	10040	325-BISPHOSPHATE-NUCLEOTIDASE-RXN	ECOCYC
10041	LR	10040	325-BISPHOSPHATE-NUCLEOTIDASE-RXN	METACYC
10041	LR	10040	R-HSA-176606.2	REACTOME
10041	LR	10040	R-HSA-8953499.2	REACTOME
10043	BI	10040	R00188	KEGG_REACTION
10044	UN	10044	1.1.1.245	EC
10044	UN	10044	GO:0018460	GO
10045	LR	10044	CYCLOHEXANOL-DEHYDROGENASE-RXN	METACYC
10047	BI	10044	R02229	KEGG_REACTION
10048	UN	10048	2.5.1.49	EC
10048	UN	10048	GO:0003961	GO
10049	LR	10048	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	METACYC
10051	BI	10048	R00651	KEGG_REACTION
10052	UN	10052	1.1.1.345	EC
10054	RL	10052	RXN-16245	METACYC
10056	UN	10056	4.3.1.14	EC
10056	UN	10056	GO:0047459	GO
10059	BI	10056	4.3.1.14-RXN	METACYC
10059	BI	10056	R03030	KEGG_REACTION
10060	UN	10060	2.3.1.34	EC
10060	UN	10060	D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN	METACYC
10060	UN	10060	GO:0047835	GO
10063	BI	10060	R02481	KEGG_REACTION
10064	UN	10064	2.1.2.7	EC
10064	UN	10064	D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN	METACYC
10064	UN	10064	GO:0050413	GO
10067	BI	10064	R01225	KEGG_REACTION
10068	UN	10068	2.4.1.53	EC
10068	UN	10068	GO:0047266	GO
10069	LR	10068	RXN-18017	METACYC
10071	BI	10068	R12036	KEGG_REACTION
10072	UN	10072	2.1.1.161	EC
10072	UN	10072	GO:0052729	GO
10073	LR	10072	RXN-9680	METACYC
10075	BI	10072	R07244	KEGG_REACTION
10076	UN	10076	3.2.1.108	EC
10076	UN	10076	GO:0000016	GO
10077	LR	10076	LACTASE-RXN	METACYC
10079	BI	10076	R01100	KEGG_REACTION
10080	UN	10080	1.3.1.57	EC
10080	UN	10080	GO:0018510	GO
10083	BI	10080	R05308	KEGG_REACTION
10083	BI	10080	R5-RXN	METACYC
10084	UN	10084	1.13.11.3	EC
10084	UN	10084	GO:0018578	GO
10085	LR	10084	PROTOCATECHUATE-34-DIOXYGENASE-RXN	METACYC
10087	BI	10084	R01631	KEGG_REACTION
10088	UN	10088	2.4.1.167	EC
10088	UN	10088	GO:0047235	GO
10091	BI	10088	2.4.1.167-RXN	METACYC
10091	BI	10088	R00809	KEGG_REACTION
10092	UN	10092	3.1.3.34	EC
10092	UN	10092	GO:0047846	GO
10093	LR	10092	DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	ECOCYC
10093	LR	10092	DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	METACYC
10095	BI	10092	R02751	KEGG_REACTION
10096	UN	10096	2.3.1.184	EC
10096	UN	10096	GO:0061579	GO
10097	LR	10096	2.3.1.184-RXN	METACYC
10099	BI	10096	R08940	KEGG_REACTION
10100	UN	10100	3.1.1.13	EC
10100	UN	10100	GO:0004771	GO
10101	LR	10100	STEROL-ESTERASE-RXN	METACYC
10103	BI	10100	R02115	KEGG_REACTION
10104	UN	10104	1.14.11.15	EC
10104	UN	10104	GO:0016707	GO
10105	LR	10104	RXN1F-170	METACYC
10107	BI	10104	R03009	KEGG_REACTION
10108	UN	10108	1.1.1.248	EC
10108	UN	10108	GO:0047037	GO
10111	BI	10108	1.1.1.248-RXN	METACYC
10111	BI	10108	R04697	KEGG_REACTION
10112	UN	10112	4.2.1.22	EC
10112	UN	10112	GO:0004122	GO
10115	BI	10112	CYSTATHIONINE-BETA-SYNTHASE-RXN	METACYC
10115	BI	10112	R01290	KEGG_REACTION
10116	UN	10116	1.1.1.351	EC
10116	UN	10116	1.1.1.44	EC
10116	UN	10116	GO:0004616	GO
10117	LR	10116	6PGLUCONDEHYDROG-RXN	METACYC
10117	LR	10116	R-HSA-71299.3	REACTOME
10117	LR	10116	RXN-9952	ECOCYC
10117	LR	10116	RXN-9952	METACYC
10119	BI	10116	R01528	KEGG_REACTION
10120	UN	10120	3.5.4.37	EC
10121	LR	10120	AMINOCYL-TRNA-HYDROLASE-RXN	ECOCYC
10121	LR	10120	AMINOCYL-TRNA-HYDROLASE-RXN	METACYC
10123	BI	10120	RXN-13992	METACYC
10124	UN	10124	1.14.13.92	EC
10124	UN	10124	GO:0033776	GO
10125	LR	10124	1.14.13.92-RXN	METACYC
10127	BI	10124	R07201	KEGG_REACTION
10128	UN	10128	5.3.99.9	EC
10128	UN	10128	GO:0034020	GO
10129	LR	10128	RXN1F-155	METACYC
10131	BI	10128	R06948	KEGG_REACTION
10132	UN	10132	6.2.1.25	EC
10132	UN	10132	GO:0018858	GO
10133	LR	10132	BENZOATE--COA-LIGASE-RXN	METACYC
10133	LR	10132	R-HSA-159443.2	REACTOME
10135	BI	10132	R01422	KEGG_REACTION
10136	UN	10136	4.1.1.47	EC
10136	UN	10136	GO:0009028	GO
10137	LR	10136	GLYOCARBOLIG-RXN	ECOCYC
10137	LR	10136	GLYOCARBOLIG-RXN	METACYC
10137	LR	10136	M0298	MACIE
10139	BI	10136	R00013	KEGG_REACTION
