NA,RHEA:10996

NA,RHEA:11432

NA,RHEA:11568

NA,RHEA:11696

NA,RHEA:11892

NA,RHEA:13005

NA,RHEA:13137

NA,RHEA:13341

NA,RHEA:13693

NA,RHEA:14121

NA,RHEA:14313

NA,RHEA:14773

NA,RHEA:14809

NA,RHEA:14865

NA,RHEA:15105

NA,RHEA:15201

NA,RHEA:15837

NA,RHEA:16181

NA,RHEA:16785

NA,RHEA:16893

NA,RHEA:17049

NA,RHEA:17405

NA,RHEA:17549

NA,RHEA:17565

NA,RHEA:17673

NA,RHEA:17833

NA,RHEA:18541

NA,RHEA:18717

NA,RHEA:18877

NA,RHEA:20429

NA,RHEA:21092

NA,RHEA:21244

NA,RHEA:21820

NA,RHEA:21832

NA,RHEA:22788

NA,RHEA:24096

NA,RHEA:24894

NA,RHEA:25629

NA,RHEA:25633

NA,RHEA:26462

NA,RHEA:26466

NA,RHEA:27357

NA,RHEA:27361

NA,RHEA:27365

NA,RHEA:27770

NA,RHEA:27774

NA,RHEA:28679

NA,RHEA:30063

NA,RHEA:31615

NA,RHEA:32475

NA,RHEA:33255

NA,RHEA:36115

NA,RHEA:36123

NA,RHEA:36127

NA,RHEA:44400

NA,RHEA:44404

NA,RHEA:44412

NA,RHEA:44480

NA,RHEA:44484

NA,RHEA:44488

NA,RHEA:44492

NA,RHEA:44592

NA,RHEA:44608

NA,RHEA:44612

NA,RHEA:44752

NA,RHEA:44756

NA,RHEA:44760

NA,RHEA:44764

NA,RHEA:44776

NA,RHEA:44780

NA,RHEA:44784

NA,RHEA:44788

NA,RHEA:44792

NA,RHEA:44796

NA,RHEA:45016

NA,RHEA:45216

NA,RHEA:45220

NA,RHEA:48116

NA,RHEA:49128

NA,RHEA:50224

NA,RHEA:55336

NA,RHEA:56848

NA,RHEA:56852

NA,RHEA:57700

NA,RHEA:59064

NA,RHEA:59068

NA,RHEA:59856

NA,RHEA:60120

NA,RHEA:60576

NA,RHEA:64472

NA,RHEA:65996

NA,RHEA:66000

NA,RHEA:66004

NA,RHEA:66028

NA,RHEA:68048

4
Q8TJK1,11684
Q8VHT6,11684
Q91WU5,11684
Q9HBK9,11684
Q9Y5N5,11684
U2ZU49,11684
A0A166U5H3,11808
A0A4P8DY91,11808
A8J6X1,11808
Q6T1F6,11808
A5U029,11988
A5U866,11988
P0A5P1,11988
